year,article,name,count_oblikovano
2013,321,"Стаття 321. Незаконне виробництво, виготовлення, придбання, перевезення, пересилання, зберігання з метою збуту або збут отруйних чи сильнодіючих речовин або отруйних чи сильнодіючих лікарських засобів",785
2013,321-1,Стаття 321-1. Фальсифікація лікарських засобів або обіг фальсифікованих лікарських засобів,28
2013,321-2,"Стаття 321-2. Порушення встановленого порядку доклінічного вивчення, клінічних випробувань і державної реєстрації лікарських засобів",3
2013,322,Стаття 322. Незаконна організація або утримання місць для вживання одурманюючих засобів,2
2013,323,Стаття 323. Спонукання неповнолітніх до застосування допінгу,0
2013,324,Стаття 324. Схиляння неповнолітніх до вживання одурманюючих засобів,2
2013,325,Стаття 325. Порушення санітарних правил і норм щодо запобігання інфекційним хворобам та масовим отруєнням,56
2013,326,Стаття 326. Порушення правил поводження з мікробіологічними або іншими біологічними агентами чи токсинами,0
2013,327,"Стаття 327. Заготівля, перероблення або збут радіоактивно забруднених продуктів харчування чи іншої продукції",1
2013,Others XIII,У звіті ОГП статтю віднесено до категорії 'Інші'. Розділ XIII,0
2014,305,"Стаття 305. Контрабанда наркотичних засобів, психотропних речовин, їх аналогів чи прекурсорів або фальсифікованих лікарських засобів",158
2014,306,"Стаття 306. Використання коштів, здобутих від незаконного обігу наркотичних засобів, психотропних речовин, їх аналогів, прекурсорів, отруйних чи сильнодіючих речовин або отруйних чи сильнодіючих лікарських засобів",61
2014,307,"Стаття 307. Незаконне виробництво, виготовлення, придбання, зберігання, перевезення, пересилання чи збут наркотичних засобів, психотропних речовин або їх аналогів",8412
2014,308,"Стаття 308. Викрадення, привласнення, вимагання наркотичних засобів, психотропних речовин або їх аналогів чи заволодіння ними шляхом шахрайства або зловживання службовим становищем",35
2014,309,"Стаття 309. Незаконне виробництво, виготовлення, придбання, зберігання, перевезення чи пересилання наркотичних засобів, психотропних речовин або їх аналогів без мети збуту",16803
2014,310,Стаття 310. Посів або вирощування снотворного маку чи конопель,2013
2014,311,"Стаття 311. Незаконне виробництво, виготовлення, придбання, зберігання, перевезення чи пересилання прекурсорів",602
2014,312,"Стаття 312. Викрадення, привласнення, вимагання прекурсорів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2
2014,313,"Стаття 313. Викрадення, привласнення, вимагання обладнання, призначеного для виготовлення наркотичних засобів, психотропних речовин або їх аналогів, чи заволодіння ним шляхом шахрайства або зловживання службовим становищем та інші незаконні дії з таким обладнанням",106
2014,314,"Стаття 314. Незаконне введення в організм наркотичних засобів, психотропних речовин або їх аналогів",2
2014,315,"Стаття 315. Схиляння до вживання наркотичних засобів, психотропних речовин або їх аналогів",233
2014,316,Стаття 316. Незаконне публічне вживання наркотичних засобів,39
2014,317,"Стаття 317. Організація або утримання місць для незаконного вживання, виробництва чи виготовлення наркотичних засобів, психотропних речовин або їх аналогів",1263
2014,318,"Стаття 318. Незаконне виготовлення, підроблення, використання чи збут підроблених документів на отримання наркотичних засобів, психотропних речовин або прекурсорів",16
2014,319,Стаття 319. Незаконна видача рецепта на право придбання наркотичних засобів або психотропних речовин,2
2014,320,"Стаття 320. Порушення встановлених правил обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів",95
2014,321,"Стаття 321. Незаконне виробництво, виготовлення, придбання, перевезення, пересилання, зберігання з метою збуту або збут отруйних чи сильнодіючих речовин або отруйних чи сильнодіючих лікарських засобів",608
2014,321-1,Стаття 321-1. Фальсифікація лікарських засобів або обіг фальсифікованих лікарських засобів,17
2014,321-2,"Стаття 321-2. Порушення встановленого порядку доклінічного вивчення, клінічних випробувань і державної реєстрації лікарських засобів",2
2014,322,Стаття 322. Незаконна організація або утримання місць для вживання одурманюючих засобів,0
2014,323,Стаття 323. Спонукання неповнолітніх до застосування допінгу,0
2014,324,Стаття 324. Схиляння неповнолітніх до вживання одурманюючих засобів,0
2014,325,Стаття 325. Порушення санітарних правил і норм щодо запобігання інфекційним хворобам та масовим отруєнням,25
2014,326,Стаття 326. Порушення правил поводження з мікробіологічними або іншими біологічними агентами чи токсинами,0
2014,327,"Стаття 327. Заготівля, перероблення або збут радіоактивно забруднених продуктів харчування чи іншої продукції",0
2014,Others XIII,У звіті ОГП статтю віднесено до категорії 'Інші'. Розділ XIII,0
2015,305,"Стаття 305. Контрабанда наркотичних засобів, психотропних речовин, їх аналогів чи прекурсорів або фальсифікованих лікарських засобів",207
2015,306,"Стаття 306. Використання коштів, здобутих від незаконного обігу наркотичних засобів, психотропних речовин, їх аналогів, прекурсорів, отруйних чи сильнодіючих речовин або отруйних чи сильнодіючих лікарських засобів",47
2015,307,"Стаття 307. Незаконне виробництво, виготовлення, придбання, зберігання, перевезення, пересилання чи збут наркотичних засобів, психотропних речовин або їх аналогів",6614
2015,308,"Стаття 308. Викрадення, привласнення, вимагання наркотичних засобів, психотропних речовин або їх аналогів чи заволодіння ними шляхом шахрайства або зловживання службовим становищем",31
2015,309,"Стаття 309. Незаконне виробництво, виготовлення, придбання, зберігання, перевезення чи пересилання наркотичних засобів, психотропних речовин або їх аналогів без мети збуту",14890
2015,310,Стаття 310. Посів або вирощування снотворного маку чи конопель,1637
2015,311,"Стаття 311. Незаконне виробництво, виготовлення, придбання, зберігання, перевезення чи пересилання прекурсорів",398
2015,312,"Стаття 312. Викрадення, привласнення, вимагання прекурсорів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",0
2015,313,"Стаття 313. Викрадення, привласнення, вимагання обладнання, призначеного для виготовлення наркотичних засобів, психотропних речовин або їх аналогів, чи заволодіння ним шляхом шахрайства або зловживання службовим становищем та інші незаконні дії з таким обладнанням",138
2015,314,"Стаття 314. Незаконне введення в організм наркотичних засобів, психотропних речовин або їх аналогів",3
2015,315,"Стаття 315. Схиляння до вживання наркотичних засобів, психотропних речовин або їх аналогів",158
2015,316,Стаття 316. Незаконне публічне вживання наркотичних засобів,24
2015,317,"Стаття 317. Організація або утримання місць для незаконного вживання, виробництва чи виготовлення наркотичних засобів, психотропних речовин або їх аналогів",1044
2015,318,"Стаття 318. Незаконне виготовлення, підроблення, використання чи збут підроблених документів на отримання наркотичних засобів, психотропних речовин або прекурсорів",6
2015,319,Стаття 319. Незаконна видача рецепта на право придбання наркотичних засобів або психотропних речовин,1
2015,320,"Стаття 320. Порушення встановлених правил обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів",185
2015,321,"Стаття 321. Незаконне виробництво, виготовлення, придбання, перевезення, пересилання, зберігання з метою збуту або збут отруйних чи сильнодіючих речовин або отруйних чи сильнодіючих лікарських засобів",468
2015,321-1,Стаття 321-1. Фальсифікація лікарських засобів або обіг фальсифікованих лікарських засобів,21
2015,321-2,"Стаття 321-2. Порушення встановленого порядку доклінічного вивчення, клінічних випробувань і державної реєстрації лікарських засобів",2
2015,322,Стаття 322. Незаконна організація або утримання місць для вживання одурманюючих засобів,1
2015,323,Стаття 323. Спонукання неповнолітніх до застосування допінгу,1
2015,324,Стаття 324. Схиляння неповнолітніх до вживання одурманюючих засобів,1
2015,325,Стаття 325. Порушення санітарних правил і норм щодо запобігання інфекційним хворобам та масовим отруєнням,31
2015,326,Стаття 326. Порушення правил поводження з мікробіологічними або іншими біологічними агентами чи токсинами,0
2015,327,"Стаття 327. Заготівля, перероблення або збут радіоактивно забруднених продуктів харчування чи іншої продукції",0
2015,Others XIII,У звіті ОГП статтю віднесено до категорії 'Інші'. Розділ XIII,0
2016,305,"Стаття 305. Контрабанда наркотичних засобів, психотропних речовин, їх аналогів чи прекурсорів або фальсифікованих лікарських засобів",309
2016,306,"Стаття 306. Використання коштів, здобутих від незаконного обігу наркотичних засобів, психотропних речовин, їх аналогів, прекурсорів, отруйних чи сильнодіючих речовин або отруйних чи сильнодіючих лікарських засобів",10
2016,307,"Стаття 307. Незаконне виробництво, виготовлення, придбання, зберігання, перевезення, пересилання чи збут наркотичних засобів, психотропних речовин або їх аналогів",2293
2016,308,"Стаття 308. Викрадення, привласнення, вимагання наркотичних засобів, психотропних речовин або їх аналогів чи заволодіння ними шляхом шахрайства або зловживання службовим становищем",28
2016,309,"Стаття 309. Незаконне виробництво, виготовлення, придбання, зберігання, перевезення чи пересилання наркотичних засобів, психотропних речовин або їх аналогів без мети збуту",17398
2016,310,Стаття 310. Посів або вирощування снотворного маку чи конопель,1766
2016,311,"Стаття 311. Незаконне виробництво, виготовлення, придбання, зберігання, перевезення чи пересилання прекурсорів",298
2016,312,"Стаття 312. Викрадення, привласнення, вимагання прекурсорів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2
2016,313,"Стаття 313. Викрадення, привласнення, вимагання обладнання, призначеного для виготовлення наркотичних засобів, психотропних речовин або їх аналогів, чи заволодіння ним шляхом шахрайства або зловживання службовим становищем та інші незаконні дії з таким обладнанням",97
2016,314,"Стаття 314. Незаконне введення в організм наркотичних засобів, психотропних речовин або їх аналогів",7
2016,315,"Стаття 315. Схиляння до вживання наркотичних засобів, психотропних речовин або їх аналогів",19
2016,316,Стаття 316. Незаконне публічне вживання наркотичних засобів,10
2016,317,"Стаття 317. Організація або утримання місць для незаконного вживання, виробництва чи виготовлення наркотичних засобів, психотропних речовин або їх аналогів",460
2016,318,"Стаття 318. Незаконне виготовлення, підроблення, використання чи збут підроблених документів на отримання наркотичних засобів, психотропних речовин або прекурсорів",0
2016,319,Стаття 319. Незаконна видача рецепта на право придбання наркотичних засобів або психотропних речовин,2
2016,320,"Стаття 320. Порушення встановлених правил обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів",128
2016,321,"Стаття 321. Незаконне виробництво, виготовлення, придбання, перевезення, пересилання, зберігання з метою збуту або збут отруйних чи сильнодіючих речовин або отруйних чи сильнодіючих лікарських засобів",131
2016,321-1,Стаття 321-1. Фальсифікація лікарських засобів або обіг фальсифікованих лікарських засобів,27
2016,321-2,"Стаття 321-2. Порушення встановленого порядку доклінічного вивчення, клінічних випробувань і державної реєстрації лікарських засобів",1
2016,322,Стаття 322. Незаконна організація або утримання місць для вживання одурманюючих засобів,0
2016,323,Стаття 323. Спонукання неповнолітніх до застосування допінгу,0
2016,324,Стаття 324. Схиляння неповнолітніх до вживання одурманюючих засобів,0
2016,325,Стаття 325. Порушення санітарних правил і норм щодо запобігання інфекційним хворобам та масовим отруєнням,41
2016,326,Стаття 326. Порушення правил поводження з мікробіологічними або іншими біологічними агентами чи токсинами,2
2016,327,"Стаття 327. Заготівля, перероблення або збут радіоактивно забруднених продуктів харчування чи іншої продукції",0
2016,Others XIII,У звіті ОГП статтю віднесено до категорії 'Інші'. Розділ XIII,0
2017,305,"Стаття 305. Контрабанда наркотичних засобів, психотропних речовин, їх аналогів чи прекурсорів або фальсифікованих лікарських засобів",251
2017,306,"Стаття 306. Використання коштів, здобутих від незаконного обігу наркотичних засобів, психотропних речовин, їх аналогів, прекурсорів, отруйних чи сильнодіючих речовин або отруйних чи сильнодіючих лікарських засобів",47
2017,307,"Стаття 307. Незаконне виробництво, виготовлення, придбання, зберігання, перевезення, пересилання чи збут наркотичних засобів, психотропних речовин або їх аналогів",5029
2017,308,"Стаття 308. Викрадення, привласнення, вимагання наркотичних засобів, психотропних речовин або їх аналогів чи заволодіння ними шляхом шахрайства або зловживання службовим становищем",28
2017,309,"Стаття 309. Незаконне виробництво, виготовлення, придбання, зберігання, перевезення чи пересилання наркотичних засобів, психотропних речовин або їх аналогів без мети збуту",20071
2017,310,Стаття 310. Посів або вирощування снотворного маку чи конопель,2017
2017,311,"Стаття 311. Незаконне виробництво, виготовлення, придбання, зберігання, перевезення чи пересилання прекурсорів",438
2017,312,"Стаття 312. Викрадення, привласнення, вимагання прекурсорів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",0
2017,313,"Стаття 313. Викрадення, привласнення, вимагання обладнання, призначеного для виготовлення наркотичних засобів, психотропних речовин або їх аналогів, чи заволодіння ним шляхом шахрайства або зловживання службовим становищем та інші незаконні дії з таким обладнанням",120
2017,314,"Стаття 314. Незаконне введення в організм наркотичних засобів, психотропних речовин або їх аналогів",5
2017,315,"Стаття 315. Схиляння до вживання наркотичних засобів, психотропних речовин або їх аналогів",44
2017,316,Стаття 316. Незаконне публічне вживання наркотичних засобів,14
2017,317,"Стаття 317. Організація або утримання місць для незаконного вживання, виробництва чи виготовлення наркотичних засобів, психотропних речовин або їх аналогів",590
2017,318,"Стаття 318. Незаконне виготовлення, підроблення, використання чи збут підроблених документів на отримання наркотичних засобів, психотропних речовин або прекурсорів",3
2017,319,Стаття 319. Незаконна видача рецепта на право придбання наркотичних засобів або психотропних речовин,6
2017,320,"Стаття 320. Порушення встановлених правил обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів",98
2017,321,"Стаття 321. Незаконне виробництво, виготовлення, придбання, перевезення, пересилання, зберігання з метою збуту або збут отруйних чи сильнодіючих речовин або отруйних чи сильнодіючих лікарських засобів",188
2017,321-1,Стаття 321-1. Фальсифікація лікарських засобів або обіг фальсифікованих лікарських засобів,23
2017,321-2,"Стаття 321-2. Порушення встановленого порядку доклінічного вивчення, клінічних випробувань і державної реєстрації лікарських засобів",3
2017,322,Стаття 322. Незаконна організація або утримання місць для вживання одурманюючих засобів,0
2017,323,Стаття 323. Спонукання неповнолітніх до застосування допінгу,0
2017,324,Стаття 324. Схиляння неповнолітніх до вживання одурманюючих засобів,0
2017,325,Стаття 325. Порушення санітарних правил і норм щодо запобігання інфекційним хворобам та масовим отруєнням,33
2017,326,Стаття 326. Порушення правил поводження з мікробіологічними або іншими біологічними агентами чи токсинами,2
2017,327,"Стаття 327. Заготівля, перероблення або збут радіоактивно забруднених продуктів харчування чи іншої продукції",0
2017,Others XIII,У звіті ОГП статтю віднесено до категорії 'Інші'. Розділ XIII,0
2018,305,"Стаття 305. Контрабанда наркотичних засобів, психотропних речовин, їх аналогів чи прекурсорів або фальсифікованих лікарських засобів",212
2018,306,"Стаття 306. Використання коштів, здобутих від незаконного обігу наркотичних засобів, психотропних речовин, їх аналогів, прекурсорів, отруйних чи сильнодіючих речовин або отруйних чи сильнодіючих лікарських засобів",120
2018,307,"Стаття 307. Незаконне виробництво, виготовлення, придбання, зберігання, перевезення, пересилання чи збут наркотичних засобів, психотропних речовин або їх аналогів",5453
2018,308,"Стаття 308. Викрадення, привласнення, вимагання наркотичних засобів, психотропних речовин або їх аналогів чи заволодіння ними шляхом шахрайства або зловживання службовим становищем",21
2018,309,"Стаття 309. Незаконне виробництво, виготовлення, придбання, зберігання, перевезення чи пересилання наркотичних засобів, психотропних речовин або їх аналогів без мети збуту",18022
2018,310,Стаття 310. Посів або вирощування снотворного маку чи конопель,1555
2018,311,"Стаття 311. Незаконне виробництво, виготовлення, придбання, зберігання, перевезення чи пересилання прекурсорів",468
2018,312,"Стаття 312. Викрадення, привласнення, вимагання прекурсорів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2
2018,313,"Стаття 313. Викрадення, привласнення, вимагання обладнання, призначеного для виготовлення наркотичних засобів, психотропних речовин або їх аналогів, чи заволодіння ним шляхом шахрайства або зловживання службовим становищем та інші незаконні дії з таким обладнанням",121
2018,314,"Стаття 314. Незаконне введення в організм наркотичних засобів, психотропних речовин або їх аналогів",8
2018,315,"Стаття 315. Схиляння до вживання наркотичних засобів, психотропних речовин або їх аналогів",34
2018,316,Стаття 316. Незаконне публічне вживання наркотичних засобів,6
2018,317,"Стаття 317. Організація або утримання місць для незаконного вживання, виробництва чи виготовлення наркотичних засобів, психотропних речовин або їх аналогів",511
2018,318,"Стаття 318. Незаконне виготовлення, підроблення, використання чи збут підроблених документів на отримання наркотичних засобів, психотропних речовин або прекурсорів",2
2018,319,Стаття 319. Незаконна видача рецепта на право придбання наркотичних засобів або психотропних речовин,10
2018,320,"Стаття 320. Порушення встановлених правил обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів",95
2018,321,"Стаття 321. Незаконне виробництво, виготовлення, придбання, перевезення, пересилання, зберігання з метою збуту або збут отруйних чи сильнодіючих речовин або отруйних чи сильнодіючих лікарських засобів",267
2018,321-1,Стаття 321-1. Фальсифікація лікарських засобів або обіг фальсифікованих лікарських засобів,40
2018,321-2,"Стаття 321-2. Порушення встановленого порядку доклінічного вивчення, клінічних випробувань і державної реєстрації лікарських засобів",5
2018,322,Стаття 322. Незаконна організація або утримання місць для вживання одурманюючих засобів,0
2018,323,Стаття 323. Спонукання неповнолітніх до застосування допінгу,0
2018,324,Стаття 324. Схиляння неповнолітніх до вживання одурманюючих засобів,0
2018,325,Стаття 325. Порушення санітарних правил і норм щодо запобігання інфекційним хворобам та масовим отруєнням,50
2018,326,Стаття 326. Порушення правил поводження з мікробіологічними або іншими біологічними агентами чи токсинами,5
2018,327,"Стаття 327. Заготівля, перероблення або збут радіоактивно забруднених продуктів харчування чи іншої продукції",0
2018,Others XIII,У звіті ОГП статтю віднесено до категорії 'Інші'. Розділ XIII,0
2019,305,"Стаття 305. Контрабанда наркотичних засобів, психотропних речовин, їх аналогів чи прекурсорів або фальсифікованих лікарських засобів",330
2019,306,"Стаття 306. Використання коштів, здобутих від незаконного обігу наркотичних засобів, психотропних речовин, їх аналогів, прекурсорів, отруйних чи сильнодіючих речовин або отруйних чи сильнодіючих лікарських засобів",70
2019,307,"Стаття 307. Незаконне виробництво, виготовлення, придбання, зберігання, перевезення, пересилання чи збут наркотичних засобів, психотропних речовин або їх аналогів",6382
2019,308,"Стаття 308. Викрадення, привласнення, вимагання наркотичних засобів, психотропних речовин або їх аналогів чи заволодіння ними шляхом шахрайства або зловживання службовим становищем",28
2019,309,"Стаття 309. Незаконне виробництво, виготовлення, придбання, зберігання, перевезення чи пересилання наркотичних засобів, психотропних речовин або їх аналогів без мети збуту",18623
2019,310,Стаття 310. Посів або вирощування снотворного маку чи конопель,1610
2019,311,"Стаття 311. Незаконне виробництво, виготовлення, придбання, зберігання, перевезення чи пересилання прекурсорів",339
2019,312,"Стаття 312. Викрадення, привласнення, вимагання прекурсорів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",3
2019,313,"Стаття 313. Викрадення, привласнення, вимагання обладнання, призначеного для виготовлення наркотичних засобів, психотропних речовин або їх аналогів, чи заволодіння ним шляхом шахрайства або зловживання службовим становищем та інші незаконні дії з таким обладнанням",110
2019,314,"Стаття 314. Незаконне введення в організм наркотичних засобів, психотропних речовин або їх аналогів",5
2019,315,"Стаття 315. Схиляння до вживання наркотичних засобів, психотропних речовин або їх аналогів",45
2019,316,Стаття 316. Незаконне публічне вживання наркотичних засобів,10
2019,317,"Стаття 317. Організація або утримання місць для незаконного вживання, виробництва чи виготовлення наркотичних засобів, психотропних речовин або їх аналогів",509
2019,318,"Стаття 318. Незаконне виготовлення, підроблення, використання чи збут підроблених документів на отримання наркотичних засобів, психотропних речовин або прекурсорів",2
2019,319,Стаття 319. Незаконна видача рецепта на право придбання наркотичних засобів або психотропних речовин,109
2019,320,"Стаття 320. Порушення встановлених правил обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів",163
2019,321,"Стаття 321. Незаконне виробництво, виготовлення, придбання, перевезення, пересилання, зберігання з метою збуту або збут отруйних чи сильнодіючих речовин або отруйних чи сильнодіючих лікарських засобів",328
2019,321-1,Стаття 321-1. Фальсифікація лікарських засобів або обіг фальсифікованих лікарських засобів,29
2019,321-2,"Стаття 321-2. Порушення встановленого порядку доклінічного вивчення, клінічних випробувань і державної реєстрації лікарських засобів",6
2019,322,Стаття 322. Незаконна організація або утримання місць для вживання одурманюючих засобів,0
2019,323,Стаття 323. Спонукання неповнолітніх до застосування допінгу,0
2019,324,Стаття 324. Схиляння неповнолітніх до вживання одурманюючих засобів,1
2019,325,Стаття 325. Порушення санітарних правил і норм щодо запобігання інфекційним хворобам та масовим отруєнням,70
2019,326,Стаття 326. Порушення правил поводження з мікробіологічними або іншими біологічними агентами чи токсинами,2
2019,327,"Стаття 327. Заготівля, перероблення або збут радіоактивно забруднених продуктів харчування чи іншої продукції",0
2019,Others XIII,У звіті ОГП статтю віднесено до категорії 'Інші'. Розділ XIII,0
2020,305,"Стаття 305. Контрабанда наркотичних засобів, психотропних речовин, їх аналогів чи прекурсорів або фальсифікованих лікарських засобів",234
2020,306,"Стаття 306. Використання коштів, здобутих від незаконного обігу наркотичних засобів, психотропних речовин, їх аналогів, прекурсорів, отруйних чи сильнодіючих речовин або отруйних чи сильнодіючих лікарських засобів",152
2020,307,"Стаття 307. Незаконне виробництво, виготовлення, придбання, зберігання, перевезення, пересилання чи збут наркотичних засобів, психотропних речовин або їх аналогів",8507
2020,308,"Стаття 308. Викрадення, привласнення, вимагання наркотичних засобів, психотропних речовин або їх аналогів чи заволодіння ними шляхом шахрайства або зловживання службовим становищем",51
2020,309,"Стаття 309. Незаконне виробництво, виготовлення, придбання, зберігання, перевезення чи пересилання наркотичних засобів, психотропних речовин або їх аналогів без мети збуту",15874
2020,310,Стаття 310. Посів або вирощування снотворного маку чи конопель,1822
2020,311,"Стаття 311. Незаконне виробництво, виготовлення, придбання, зберігання, перевезення чи пересилання прекурсорів",315
2020,312,"Стаття 312. Викрадення, привласнення, вимагання прекурсорів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",4
2020,313,"Стаття 313. Викрадення, привласнення, вимагання обладнання, призначеного для виготовлення наркотичних засобів, психотропних речовин або їх аналогів, чи заволодіння ним шляхом шахрайства або зловживання службовим становищем та інші незаконні дії з таким обладнанням",81
2020,314,"Стаття 314. Незаконне введення в організм наркотичних засобів, психотропних речовин або їх аналогів",2
2020,315,"Стаття 315. Схиляння до вживання наркотичних засобів, психотропних речовин або їх аналогів",37
2020,316,Стаття 316. Незаконне публічне вживання наркотичних засобів,8
2020,317,"Стаття 317. Організація або утримання місць для незаконного вживання, виробництва чи виготовлення наркотичних засобів, психотропних речовин або їх аналогів",426
2020,318,"Стаття 318. Незаконне виготовлення, підроблення, використання чи збут підроблених документів на отримання наркотичних засобів, психотропних речовин або прекурсорів",7
2020,319,Стаття 319. Незаконна видача рецепта на право придбання наркотичних засобів або психотропних речовин,127
2020,320,"Стаття 320. Порушення встановлених правил обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів",87
2020,321,"Стаття 321. Незаконне виробництво, виготовлення, придбання, перевезення, пересилання, зберігання з метою збуту або збут отруйних чи сильнодіючих речовин або отруйних чи сильнодіючих лікарських засобів",350
2020,321-1,Стаття 321-1. Фальсифікація лікарських засобів або обіг фальсифікованих лікарських засобів,22
2020,321-2,"Стаття 321-2. Порушення встановленого порядку доклінічного вивчення, клінічних випробувань і державної реєстрації лікарських засобів",3
2020,322,Стаття 322. Незаконна організація або утримання місць для вживання одурманюючих засобів,1
2020,323,Стаття 323. Спонукання неповнолітніх до застосування допінгу,0
2020,324,Стаття 324. Схиляння неповнолітніх до вживання одурманюючих засобів,0
2020,325,Стаття 325. Порушення санітарних правил і норм щодо запобігання інфекційним хворобам та масовим отруєнням,91
2020,326,Стаття 326. Порушення правил поводження з мікробіологічними або іншими біологічними агентами чи токсинами,3
2020,327,"Стаття 327. Заготівля, перероблення або збут радіоактивно забруднених продуктів харчування чи іншої продукції",0
2020,Others XIII,У звіті ОГП статтю віднесено до категорії 'Інші'. Розділ XIII,0
2021,305,"Стаття 305. Контрабанда наркотичних засобів, психотропних речовин, їх аналогів чи прекурсорів або фальсифікованих лікарських засобів",183
2021,306,"Стаття 306. Використання коштів, здобутих від незаконного обігу наркотичних засобів, психотропних речовин, їх аналогів, прекурсорів, отруйних чи сильнодіючих речовин або отруйних чи сильнодіючих лікарських засобів",100
2021,307,"Стаття 307. Незаконне виробництво, виготовлення, придбання, зберігання, перевезення, пересилання чи збут наркотичних засобів, психотропних речовин або їх аналогів",10994
2021,308,"Стаття 308. Викрадення, привласнення, вимагання наркотичних засобів, психотропних речовин або їх аналогів чи заволодіння ними шляхом шахрайства або зловживання службовим становищем",356
2021,309,"Стаття 309. Незаконне виробництво, виготовлення, придбання, зберігання, перевезення чи пересилання наркотичних засобів, психотропних речовин або їх аналогів без мети збуту",14109
2021,310,Стаття 310. Посів або вирощування снотворного маку чи конопель,1419
2021,311,"Стаття 311. Незаконне виробництво, виготовлення, придбання, зберігання, перевезення чи пересилання прекурсорів",336
2021,312,"Стаття 312. Викрадення, привласнення, вимагання прекурсорів або заволодіння ними шляхом шахрайства або зловживання службовим становищем",2
2021,313,"Стаття 313. Викрадення, привласнення, вимагання обладнання, призначеного для виготовлення наркотичних засобів, психотропних речовин або їх аналогів, чи заволодіння ним шляхом шахрайства або зловживання службовим становищем та інші незаконні дії з таким обладнанням",98
2021,314,"Стаття 314. Незаконне введення в організм наркотичних засобів, психотропних речовин або їх аналогів",8
2021,315,"Стаття 315. Схиляння до вживання наркотичних засобів, психотропних речовин або їх аналогів",17
2021,316,Стаття 316. Незаконне публічне вживання наркотичних засобів,15
2021,317,"Стаття 317. Організація або утримання місць для незаконного вживання, виробництва чи виготовлення наркотичних засобів, психотропних речовин або їх аналогів",357
2021,318,"Стаття 318. Незаконне виготовлення, підроблення, використання чи збут підроблених документів на отримання наркотичних засобів, психотропних речовин або прекурсорів",7
2021,319,Стаття 319. Незаконна видача рецепта на право придбання наркотичних засобів або психотропних речовин,751
2021,320,"Стаття 320. Порушення встановлених правил обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів",211
2021,321,"Стаття 321. Незаконне виробництво, виготовлення, придбання, перевезення, пересилання, зберігання з метою збуту або збут отруйних чи сильнодіючих речовин або отруйних чи сильнодіючих лікарських засобів",495
2021,321-1,Стаття 321-1. Фальсифікація лікарських засобів або обіг фальсифікованих лікарських засобів,21
